seq,pdcp_tx_us,rlc_tx_us,mac_tx_us,mac_rx_us,rlc_rx_us,pdcp_rx_us,pass
0,129.704,7.706,6.478,21.374,44.070,88.090,PASS
1,73.514,4.999,18.686,4.417,31.134,72.390,PASS
2,72.391,5.083,18.272,4.110,30.963,72.308,PASS
3,90.268,5.269,1.917,4.007,30.745,87.906,PASS
4,89.372,5.340,1.942,20.247,13.571,89.650,PASS
5,74.090,4.756,1.720,4.377,31.112,71.639,PASS
6,89.163,4.488,1.866,20.032,12.718,87.674,PASS
7,70.204,21.054,1.904,3.480,99.738,70.065,PASS
8,87.639,4.648,2.130,23.420,13.481,84.863,PASS
9,90.718,5.583,29.850,4.962,31.466,90.664,PASS
10,91.605,5.158,1.774,4.447,31.006,89.138,PASS
11,93.102,5.110,1.730,3.785,30.208,91.200,PASS
12,90.863,4.807,1.865,20.745,31.642,74.726,PASS
13,93.439,22.053,2.045,4.572,31.045,91.951,PASS
14,72.889,21.199,1.808,3.496,29.276,69.541,PASS
15,69.250,21.426,1.880,3.839,33.292,88.556,PASS
16,89.183,5.114,1.833,19.954,12.976,89.127,PASS
17,69.830,21.317,1.917,3.878,29.224,68.198,PASS
18,70.671,20.972,1.872,3.694,30.404,101.538,PASS
19,91.861,5.220,1.966,4.793,31.873,90.700,PASS
20,77.332,5.535,1.796,4.548,31.492,92.026,PASS
21,93.247,5.231,1.896,20.564,30.927,75.781,PASS
22,92.912,5.318,1.829,20.793,30.785,75.386,PASS
23,76.769,21.478,1.799,4.283,31.314,91.875,PASS
24,77.011,21.795,1.787,4.298,31.234,91.733,PASS
25,92.900,5.397,1.977,4.353,31.008,91.507,PASS
26,93.398,5.170,1.804,20.887,31.154,75.196,PASS
27,74.545,21.659,1.642,3.197,29.080,67.034,PASS
28,92.378,5.873,1.795,3.474,29.897,90.348,PASS
29,91.276,4.582,1.763,20.665,40.287,88.704,PASS
30,73.267,21.259,1.909,3.706,31.914,73.868,PASS
31,93.175,21.135,2.035,3.699,29.710,70.486,PASS
32,70.046,21.382,1.890,3.504,29.666,68.566,PASS
33,69.968,21.122,2.225,3.467,29.966,69.201,PASS
34,89.462,5.310,2.425,20.767,30.821,72.046,PASS
35,89.750,5.509,1.942,20.470,12.657,88.457,PASS
36,90.412,4.932,2.045,4.317,31.041,88.259,PASS
37,74.468,21.583,2.015,3.952,30.628,72.807,PASS
38,73.313,4.556,18.380,3.855,28.807,70.714,PASS
39,72.646,20.997,2.276,3.360,29.058,73.884,PASS
40,71.380,4.466,1.935,19.773,11.897,85.809,PASS
41,86.277,5.360,2.167,20.507,13.931,85.572,PASS
42,93.329,4.813,1.846,3.813,29.604,84.909,PASS
43,87.107,4.696,2.168,20.910,13.114,87.919,PASS
44,70.874,21.746,1.901,3.330,28.942,68.510,PASS
45,69.192,21.106,1.909,3.763,28.454,69.011,PASS
46,68.345,4.375,18.353,3.806,29.443,68.336,PASS
47,69.928,4.495,1.812,20.160,29.305,69.182,PASS
48,69.014,4.233,2.146,20.613,12.525,86.015,PASS
49,72.456,4.628,1.986,20.286,30.582,70.847,PASS
50,71.618,21.420,2.186,3.602,28.996,68.602,PASS
51,70.915,21.088,2.419,3.834,30.123,68.504,PASS
52,88.837,4.756,2.396,4.080,30.408,85.322,PASS
53,86.426,5.194,2.251,3.281,28.722,86.469,PASS
54,70.777,4.524,2.292,20.312,31.026,70.064,PASS
55,71.434,20.974,2.486,3.724,29.680,68.737,PASS
56,72.625,21.395,2.173,3.789,28.689,69.107,PASS
57,71.176,20.884,1.902,3.325,29.372,73.377,PASS
58,71.744,21.219,2.058,3.597,29.005,69.335,PASS
59,85.956,4.861,1.978,4.082,30.332,85.906,PASS
60,72.328,4.615,18.471,3.674,30.505,68.684,PASS
61,69.208,21.107,2.067,3.872,29.053,69.470,PASS
62,88.161,4.617,1.893,3.549,29.034,71.230,PASS
63,73.665,21.086,1.909,3.485,29.513,71.670,PASS
64,74.596,22.092,2.242,4.326,31.401,105.051,PASS
65,91.616,5.504,1.881,20.434,12.643,68.585,PASS
66,68.502,4.915,1.932,20.331,12.837,87.221,PASS
67,74.276,23.951,2.246,3.781,30.175,70.413,PASS
68,85.523,4.548,2.029,22.393,13.850,87.134,PASS
69,69.918,4.416,18.784,3.952,28.092,68.213,PASS
70,69.511,4.270,1.920,20.029,12.797,86.822,PASS
71,91.771,5.122,2.154,4.367,31.354,87.290,PASS
72,72.277,5.400,18.879,3.884,30.199,67.814,PASS
73,75.304,21.209,2.616,3.780,29.869,90.647,PASS
74,71.142,4.345,18.378,3.854,28.947,71.538,PASS
75,87.156,4.861,2.072,3.737,28.441,65.298,PASS
76,99.546,20.979,2.043,3.695,29.713,66.893,PASS
77,67.194,4.678,2.007,19.989,12.711,88.938,PASS
78,68.403,21.155,2.054,4.439,29.638,68.585,PASS
79,90.470,5.161,2.330,4.173,30.311,87.377,PASS
80,74.202,4.903,2.279,3.936,30.646,70.087,PASS
81,91.195,4.745,2.109,20.368,14.216,88.474,PASS
82,90.005,5.152,2.105,4.034,30.658,87.663,PASS
83,73.618,4.868,18.582,4.303,30.873,71.412,PASS
84,90.045,4.523,1.886,3.942,28.767,69.783,PASS
85,88.737,4.420,1.955,3.458,29.391,67.010,PASS
86,67.989,4.387,1.906,3.756,29.118,68.389,PASS
87,76.656,21.598,2.047,3.482,29.243,65.739,PASS
88,127.112,4.629,2.021,3.411,29.371,69.075,PASS
89,85.548,5.325,1.938,3.329,30.059,67.764,PASS
90,68.702,20.984,1.912,3.709,28.640,68.270,PASS
91,88.623,7.439,2.389,3.642,29.419,86.868,PASS
92,72.720,5.145,18.633,3.988,30.669,70.394,PASS
93,88.741,4.696,2.095,4.361,30.141,85.359,PASS
94,71.176,4.873,2.155,20.361,30.490,71.641,PASS
95,71.553,21.193,1.977,4.241,30.382,70.871,PASS
96,89.141,4.959,2.086,20.825,30.515,70.329,PASS
97,69.166,4.254,1.723,19.775,12.099,82.718,PASS
98,86.335,5.238,2.024,3.596,29.338,67.256,PASS
99,73.896,4.951,18.827,4.554,29.485,66.945,PASS
