seq,pdcp_tx_us,rlc_tx_us,mac_tx_us,mac_rx_us,rlc_rx_us,pdcp_rx_us,pass
39,100.481,21.092,1.985,3.732,29.444,98.827,PASS
40,103.043,5.005,1.679,20.517,30.758,101.570,PASS
41,103.513,5.148,1.673,20.702,30.415,100.164,PASS
42,103.144,4.908,1.690,20.689,14.415,101.350,PASS
43,105.440,4.735,1.611,20.410,30.993,101.848,PASS
44,105.042,4.489,17.907,3.279,28.878,102.307,PASS
45,101.728,4.356,1.476,20.115,12.357,98.622,PASS
46,99.246,20.968,1.657,4.033,29.357,98.588,PASS
47,114.654,4.543,1.566,4.179,29.057,98.799,PASS
48,134.490,4.935,2.078,20.872,29.232,79.626,PASS
49,99.412,4.509,1.363,20.065,29.460,78.277,PASS
50,117.820,4.742,1.618,3.650,29.069,97.745,PASS
51,98.920,4.663,1.547,20.366,13.158,115.382,PASS
52,121.415,4.514,1.686,3.372,29.269,100.207,PASS
53,123.935,4.762,1.445,19.937,12.477,98.203,PASS
54,103.685,5.340,18.085,3.966,31.498,102.882,PASS
55,105.240,21.603,1.727,4.199,31.438,103.443,PASS
56,100.173,4.678,17.955,3.615,29.153,100.631,PASS
57,105.668,5.125,18.263,4.408,31.211,103.332,PASS
58,101.701,21.249,1.729,4.076,30.721,100.266,PASS
59,119.926,5.073,1.758,3.933,31.046,118.745,PASS
60,104.806,5.306,18.423,4.077,30.943,102.396,PASS
61,120.132,5.090,1.978,3.958,30.736,118.609,PASS
62,104.437,5.090,18.288,4.180,30.269,99.751,PASS
63,119.096,4.473,1.510,3.632,29.242,97.235,PASS
64,103.174,5.321,18.264,4.305,30.535,99.566,PASS
65,99.898,21.292,1.781,4.043,30.504,100.335,PASS
66,123.675,4.376,1.645,3.525,29.654,99.348,PASS
67,128.057,4.718,1.742,3.530,31.215,98.606,PASS
68,104.076,21.914,1.784,4.179,31.357,120.354,PASS
69,124.313,5.145,1.817,4.696,31.012,122.553,PASS
70,107.033,21.374,1.599,3.624,29.348,98.636,PASS
71,101.737,4.866,1.711,4.305,29.786,118.266,PASS
72,120.172,5.278,1.853,20.509,14.495,118.021,PASS
73,102.220,4.655,1.983,21.029,30.794,102.239,PASS
74,99.031,4.955,1.710,3.719,29.611,100.517,PASS
75,103.512,21.646,2.045,3.877,31.201,102.477,PASS
76,120.588,5.598,2.011,3.884,30.788,132.120,PASS
77,116.081,4.803,1.896,3.727,31.201,101.492,PASS
78,92.454,3.719,1.271,19.119,10.293,88.274,PASS
79,76.226,3.311,17.557,2.765,9.439,87.990,PASS
80,73.336,3.313,1.035,19.127,9.393,94.351,PASS
81,102.659,4.626,1.690,20.163,12.761,115.880,PASS
82,100.873,21.362,1.710,3.748,29.914,101.454,PASS
83,101.739,4.951,1.577,20.497,13.277,117.203,PASS
84,102.856,21.608,1.821,3.773,30.042,100.835,PASS
85,124.740,5.263,1.858,20.960,14.659,99.997,PASS
86,119.553,4.953,1.731,3.728,31.539,99.146,PASS
87,120.164,5.183,1.730,4.351,31.274,119.216,PASS
88,104.124,5.140,1.841,3.954,31.195,101.996,PASS
89,120.480,4.932,1.720,4.298,30.902,118.382,PASS
90,120.286,4.836,1.772,3.592,31.163,118.833,PASS
91,120.312,4.822,1.939,3.644,30.768,119.264,PASS
92,120.609,5.074,1.693,20.883,31.030,102.117,PASS
93,120.631,4.747,1.834,20.619,13.777,118.552,PASS
94,120.888,5.027,1.582,20.313,13.484,117.721,PASS
95,105.132,4.979,18.242,4.299,31.110,102.478,PASS
96,104.298,4.946,1.904,20.404,30.909,102.206,PASS
97,120.958,5.003,1.761,20.644,14.695,115.565,PASS
98,118.276,4.460,1.703,3.515,29.577,98.188,PASS
99,104.669,21.588,1.750,3.668,31.127,98.860,PASS
