seq,pdcp_tx_us,rlc_tx_us,mac_tx_us,mac_rx_us,rlc_rx_us,pdcp_rx_us,pass
0,138.390,25.237,6.987,20.798,43.732,161.207,PASS
1,98.420,4.932,1.925,20.065,14.212,105.260,PASS
2,140.648,4.536,18.095,3.535,29.386,99.280,PASS
3,103.620,4.929,1.494,19.967,29.886,98.299,PASS
4,100.916,5.138,1.959,4.033,29.489,118.444,PASS
5,101.759,21.509,1.888,3.852,31.008,96.755,PASS
6,100.173,4.575,1.542,3.904,30.849,117.207,PASS
7,98.272,21.545,1.790,3.800,30.237,102.731,PASS
8,100.689,5.061,18.315,3.602,28.588,99.934,PASS
9,106.265,4.925,1.752,4.099,30.669,102.913,PASS
10,106.235,21.536,1.820,3.974,30.080,104.895,PASS
11,121.976,4.982,1.948,3.971,14.599,119.865,PASS
12,106.215,4.330,1.515,20.326,12.858,79.564,PASS
13,101.979,5.088,18.063,3.952,30.199,103.070,PASS
14,105.717,21.972,1.964,4.027,31.528,103.505,PASS
15,119.501,5.004,1.885,4.164,30.887,116.826,PASS
16,120.224,5.624,1.712,20.598,30.032,102.415,PASS
17,105.214,21.418,1.680,3.961,29.911,132.778,PASS
18,104.722,21.787,1.825,4.079,31.256,119.558,PASS
19,120.728,5.003,1.767,3.719,158.498,120.028,PASS
20,105.216,5.420,1.730,20.138,30.702,104.046,PASS
21,104.969,21.591,1.771,4.037,31.244,102.773,PASS
22,120.663,4.974,1.858,4.151,31.117,118.393,PASS
23,105.944,5.009,18.236,4.175,31.288,103.359,PASS
24,121.766,5.239,1.822,4.016,30.578,119.976,PASS
25,122.328,5.136,1.556,20.082,13.996,119.744,PASS
26,107.813,21.537,1.714,3.927,30.940,101.391,PASS
27,121.913,4.623,1.784,4.286,31.606,121.250,PASS
28,101.152,4.462,1.484,3.743,28.771,100.183,PASS
29,118.447,4.477,1.521,3.246,28.831,99.884,PASS
30,99.242,4.477,1.758,4.238,29.824,97.580,PASS
31,99.151,4.810,1.991,20.263,29.514,101.719,PASS
32,117.852,4.857,1.685,4.023,29.506,99.517,PASS
33,103.225,21.470,1.883,4.080,31.107,119.461,PASS
34,96.371,4.816,1.495,3.561,29.260,97.673,PASS
35,100.754,4.313,17.751,4.011,29.118,96.401,PASS
36,98.299,4.275,1.501,20.174,13.215,114.693,PASS
37,100.278,21.137,1.564,3.563,31.170,102.034,PASS
38,98.311,4.718,1.393,3.670,85.642,159.329,PASS
