seq,pdcp_tx_us,rlc_tx_us,mac_tx_us,mac_rx_us,rlc_rx_us,pdcp_rx_us,pass
31,7.964,1.548,1.339,1.479,21.852,7.666,PASS
32,24.676,1.605,1.342,1.223,21.676,6.591,PASS
33,24.425,1.982,1.326,1.240,4.861,22.778,PASS
34,24.671,1.451,1.292,1.149,4.587,23.014,PASS
35,24.495,1.472,1.227,1.353,4.820,23.054,PASS
36,7.405,18.030,1.521,1.232,5.593,24.276,PASS
37,7.671,18.066,1.604,1.456,4.862,6.967,PASS
38,7.228,1.741,1.312,17.929,4.887,7.108,PASS
39,7.967,1.461,1.176,1.522,21.709,6.675,PASS
40,7.542,1.470,1.308,1.478,21.562,7.049,PASS
41,8.300,1.752,1.432,1.540,22.476,7.630,PASS
42,8.285,1.689,1.393,1.205,21.863,5.631,PASS
43,24.586,1.635,1.562,1.135,3.959,21.774,PASS
44,24.245,1.173,1.002,0.916,3.904,21.745,PASS
45,8.136,1.146,0.993,0.915,20.447,5.436,PASS
46,7.892,1.476,1.256,17.899,5.058,5.577,PASS
47,24.258,1.614,1.447,1.286,4.666,24.076,PASS
48,7.941,1.578,17.974,1.697,5.289,6.871,PASS
49,24.178,1.476,1.258,1.204,21.491,6.842,PASS
50,7.576,1.191,17.371,1.020,3.876,5.373,PASS
51,24.141,1.298,0.961,0.896,4.042,5.313,PASS
52,24.462,1.543,1.445,1.280,5.291,24.003,PASS
53,8.374,17.548,1.225,1.050,4.176,5.307,PASS
54,24.482,1.560,1.311,1.206,4.888,23.552,PASS
55,7.703,1.486,1.268,1.190,5.435,5.536,PASS
56,24.200,1.211,1.024,0.915,4.015,5.316,PASS
57,26.962,1.712,1.478,1.499,21.755,6.967,PASS
58,9.246,1.627,1.554,1.406,24.167,7.524,PASS
59,7.983,18.357,1.642,1.478,5.731,23.628,PASS
60,24.620,1.789,1.594,1.415,5.176,23.365,PASS
61,24.897,1.664,1.411,1.326,5.398,24.010,PASS
62,25.171,1.744,1.482,1.481,23.650,8.003,PASS
63,47.612,18.103,1.296,1.177,7.861,24.465,PASS
64,24.913,2.023,1.532,1.224,21.673,7.157,PASS
65,8.434,1.705,1.414,17.739,5.471,6.679,PASS
66,8.300,18.173,1.348,1.144,5.512,6.210,PASS
67,7.763,1.458,1.247,1.467,5.019,7.078,PASS
68,8.136,1.410,1.247,1.244,21.424,6.779,PASS
69,8.217,1.607,1.327,1.134,21.708,6.812,PASS
70,8.313,1.748,1.375,17.967,5.456,7.413,PASS
71,8.199,1.740,17.907,1.630,5.820,7.626,PASS
72,8.429,1.739,17.769,1.539,5.333,6.977,PASS
73,24.463,1.521,1.302,1.190,21.550,6.528,PASS
74,8.097,1.227,17.390,1.059,3.953,5.378,PASS
75,24.601,1.214,0.977,0.926,4.046,5.363,PASS
76,23.639,1.222,1.046,0.909,3.850,5.349,PASS
77,24.265,1.221,0.963,0.891,4.038,21.826,PASS
78,24.187,1.532,1.298,1.173,21.599,7.048,PASS
79,24.180,1.708,1.536,1.113,3.845,5.392,PASS
80,23.550,1.202,0.989,0.915,4.078,21.672,PASS
81,24.322,1.190,1.027,0.888,3.993,21.803,PASS
82,7.583,1.177,1.032,0.897,3.836,21.756,PASS
83,8.231,1.187,0.975,0.909,20.493,5.448,PASS
84,7.929,1.493,17.827,1.532,4.969,6.901,PASS
85,24.226,1.447,1.272,1.168,5.063,23.141,PASS
86,7.242,1.175,1.020,0.889,20.277,5.403,PASS
87,7.359,1.195,17.449,0.989,3.830,5.353,PASS
88,24.706,1.583,1.367,1.347,22.307,6.806,PASS
89,24.906,1.188,1.043,0.923,4.094,5.385,PASS
90,24.451,1.525,1.315,1.194,4.892,23.411,PASS
91,7.751,1.500,1.339,17.897,5.321,7.057,PASS
92,8.200,1.549,1.327,1.215,22.012,5.614,PASS
93,8.142,17.640,1.075,0.904,3.881,5.242,PASS
94,24.815,1.796,1.472,1.598,20.872,5.644,PASS
95,7.850,17.954,1.589,1.885,4.085,5.442,PASS
96,24.460,1.521,1.252,1.048,3.851,21.939,PASS
97,8.336,1.717,1.066,0.962,4.123,5.424,PASS
98,24.331,1.546,1.315,1.168,5.069,23.427,PASS
99,7.928,1.656,1.461,17.976,5.245,7.395,PASS
