seq,pdcp_tx_us,rlc_tx_us,mac_tx_us,mac_rx_us,rlc_rx_us,pdcp_rx_us,pass
0,59.793,4.422,23.056,2.173,27.889,6.645,PASS
1,24.928,1.368,1.321,0.997,4.191,21.891,PASS
2,7.491,1.226,1.033,0.910,20.301,5.427,PASS
3,7.418,1.187,17.373,1.021,3.914,5.422,PASS
4,24.487,1.203,1.023,0.901,4.060,5.411,PASS
5,23.631,1.194,1.006,0.893,3.955,21.743,PASS
6,24.611,1.230,1.027,0.905,3.860,21.828,PASS
7,7.698,1.216,1.035,0.917,20.255,5.447,PASS
8,8.516,1.518,17.813,1.612,4.966,7.405,PASS
9,7.010,1.307,0.994,0.905,20.490,5.438,PASS
10,7.355,1.174,17.403,0.991,3.890,5.328,PASS
11,23.751,1.167,0.984,0.907,3.770,5.312,PASS
12,23.878,1.163,0.963,0.942,4.229,23.955,PASS
13,8.019,1.342,17.452,1.073,4.129,5.336,PASS
14,7.763,1.739,1.342,17.737,6.165,6.692,PASS
15,26.359,1.975,1.617,1.516,23.345,8.474,PASS
16,7.113,1.472,1.234,1.095,22.252,8.164,PASS
17,7.969,1.622,1.342,17.805,6.203,7.851,PASS
18,8.376,1.301,1.043,0.930,20.433,5.466,PASS
19,7.838,1.540,17.700,1.617,4.554,5.538,PASS
20,24.561,1.676,1.280,1.221,5.301,24.371,PASS
21,8.124,17.714,1.060,0.924,4.067,5.302,PASS
22,24.643,1.504,1.747,1.079,3.881,21.792,PASS
23,8.290,1.801,18.103,1.606,5.658,5.696,PASS
24,24.411,1.529,1.321,1.195,21.473,6.529,PASS
25,7.621,1.178,17.331,1.082,4.019,5.435,PASS
26,25.336,1.766,1.362,1.317,21.908,6.260,PASS
27,24.215,1.210,1.050,0.922,3.951,5.340,PASS
28,24.488,1.522,1.446,1.407,5.301,24.052,PASS
29,24.696,1.871,1.279,0.995,4.105,5.370,PASS
30,24.467,1.179,1.022,0.910,3.955,21.755,PASS
