seq,packet_size,tb_size,pdcp_tx_us,rlc_tx_us,mac_tx_us,mac_rx_us,rlc_rx_us,pdcp_rx_us,total_tx_us,total_rx_us,total_us,pass
5,3000,4096,37.440,2.070,7.200,1.980,8.100,36.900,46.710,46.980,93.690,PASS
6,3000,4096,37.260,1.980,7.290,1.980,8.190,36.990,46.530,47.160,93.690,PASS
7,3000,4096,37.080,1.890,7.290,1.980,8.190,36.810,46.260,46.980,93.240,PASS
8,3000,4096,38.340,2.520,9.270,2.520,11.250,38.340,50.130,52.110,102.240,PASS
9,3000,4096,37.620,2.160,7.650,1.980,9.000,61.920,47.430,72.900,120.330,PASS
0,100,8192,14.940,0.990,27.090,11.700,8.730,2.970,43.020,23.400,66.420,PASS
1,100,8192,2.880,0.450,22.860,0.540,1.890,2.610,26.190,5.040,31.230,PASS
2,100,8192,2.610,0.360,21.870,0.540,1.440,2.520,24.840,4.500,29.340,PASS
3,100,8192,2.610,0.360,18.990,0.450,1.440,2.520,21.960,4.410,26.370,PASS
4,100,8192,2.520,0.360,16.290,0.450,1.440,2.520,19.170,4.410,23.580,PASS
5,100,8192,2.520,0.450,17.190,0.360,1.440,2.430,20.160,4.230,24.390,PASS
6,100,8192,2.610,0.450,22.590,0.360,1.440,2.430,25.650,4.230,29.880,PASS
7,100,8192,2.520,0.450,16.920,0.450,1.440,2.520,19.890,4.410,24.300,PASS
8,100,8192,2.520,0.450,18.630,0.450,1.350,2.520,21.600,4.320,25.920,PASS
9,100,8192,2.610,0.450,16.740,0.450,1.530,2.610,19.800,4.590,24.390,PASS
0,500,8192,19.980,1.620,31.410,8.550,10.710,7.920,53.010,27.180,80.190,PASS
1,500,8192,7.740,0.810,20.610,0.810,3.330,7.290,29.160,11.430,40.590,PASS
2,500,8192,7.470,0.630,16.110,0.720,2.790,7.200,24.210,10.710,34.920,PASS
3,500,8192,7.470,0.720,19.620,0.720,2.610,7.290,27.810,10.620,38.430,PASS
4,500,8192,7.380,0.720,16.020,0.720,2.610,7.200,24.120,10.530,34.650,PASS
5,500,8192,7.380,0.630,18.270,0.630,2.610,7.290,26.280,10.530,36.810,PASS
6,500,8192,7.470,0.630,19.530,0.630,2.610,7.290,27.630,10.530,38.160,PASS
7,500,8192,7.380,0.630,18.360,0.630,2.610,7.200,26.370,10.440,36.810,PASS
8,500,8192,7.380,0.630,31.860,1.530,3.960,7.920,39.870,13.410,53.280,PASS
9,500,8192,36.630,1.080,17.730,0.810,3.600,7.830,55.440,12.240,67.680,PASS
0,1000,8192,43.380,3.420,38.610,17.550,26.010,19.350,85.410,62.910,148.320,PASS
1,1000,8192,18.270,1.710,18.180,1.350,7.290,26.640,38.160,35.280,73.440,PASS
2,1000,8192,18.270,1.800,17.010,1.440,7.110,17.190,37.080,25.740,62.820,PASS
3,1000,8192,19.260,1.710,17.010,1.440,7.020,18.990,37.980,27.450,65.430,PASS
4,1000,8192,17.820,1.710,16.740,1.350,6.570,17.280,36.270,25.200,61.470,PASS
5,1000,8192,17.370,1.530,17.280,1.440,7.200,17.730,36.180,26.370,62.550,PASS
6,1000,8192,18.270,1.620,16.920,1.350,6.300,18.090,36.810,25.740,62.550,PASS
7,1000,8192,19.890,1.800,18.360,1.530,6.930,18.450,40.050,26.910,66.960,PASS
8,1000,8192,18.000,1.710,17.730,1.530,7.380,19.350,37.440,28.260,65.700,PASS
9,1000,8192,19.080,1.530,19.980,1.440,7.290,20.160,40.590,28.890,69.480,PASS
0,1400,8192,33.570,2.160,31.590,8.190,16.560,20.790,67.320,45.540,112.860,PASS
1,1400,8192,18.630,1.170,17.820,0.990,5.400,18.000,37.620,24.390,62.010,PASS
2,1400,8192,18.360,0.990,18.630,3.870,4.680,20.520,37.980,29.070,67.050,PASS
3,1400,8192,18.180,0.990,18.630,0.990,118.710,19.260,37.800,138.960,176.760,PASS
4,1400,8192,22.590,1.620,20.070,1.260,5.400,18.270,44.280,24.930,69.210,PASS
5,1400,8192,18.630,0.990,19.980,0.900,4.410,18.180,39.600,23.490,63.090,PASS
6,1400,8192,18.360,0.900,15.660,0.990,4.230,18.000,34.920,23.220,58.140,PASS
7,1400,8192,18.270,0.810,17.100,0.900,4.140,18.000,36.180,23.040,59.220,PASS
8,1400,8192,18.270,0.990,14.490,0.900,4.140,18.000,33.750,23.040,56.790,PASS
9,1400,8192,18.360,0.900,17.190,0.900,4.140,18.000,36.450,23.040,59.490,PASS
0,3000,8192,55.260,3.510,33.300,10.170,24.120,44.010,92.070,78.300,170.370,PASS
1,3000,8192,37.530,2.250,20.070,2.070,9.630,36.810,59.850,48.510,108.360,PASS
2,3000,8192,43.110,2.070,17.010,2.790,14.490,41.310,62.190,58.590,120.780,PASS
3,3000,8192,37.800,2.250,16.560,2.070,9.450,38.970,56.610,50.490,107.100,PASS
4,3000,8192,41.220,2.250,18.450,2.070,17.370,100.080,61.920,119.520,181.440,PASS
5,3000,8192,38.070,2.340,17.820,2.160,9.450,36.990,58.230,48.600,106.830,PASS
6,3000,8192,37.440,1.980,16.470,1.980,8.100,36.990,55.890,47.070,102.960,PASS
7,3000,8192,37.350,1.980,16.560,1.890,8.190,36.990,55.890,47.070,102.960,PASS
8,3000,8192,37.260,1.980,16.650,2.070,8.190,36.900,55.890,47.160,103.050,PASS
9,3000,8192,37.440,1.890,16.650,2.700,10.890,177.840,55.980,191.430,247.410,PASS
0,100,512,16.740,1.530,4.680,5.220,11.070,2.880,22.950,19.170,42.120,PASS
1,100,512,2.790,0.540,2.700,0.540,1.890,2.430,6.030,4.860,10.890,PASS
2,100,512,2.610,0.450,2.070,0.450,1.530,2.520,5.130,4.500,9.630,PASS
3,100,512,2.520,0.360,2.430,0.450,1.530,2.520,5.310,4.500,9.810,PASS
4,100,512,2.520,0.450,2.160,0.450,1.440,2.520,5.130,4.410,9.540,PASS
5,100,512,2.520,0.360,2.160,0.450,1.440,2.430,5.040,4.320,9.360,PASS
6,100,512,2.520,0.450,2.160,0.360,1.530,2.610,5.130,4.500,9.630,PASS
7,100,512,2.520,0.360,2.250,0.450,1.440,2.520,5.130,4.410,9.540,PASS
8,100,512,2.520,0.360,2.160,0.360,1.350,2.430,5.040,4.140,9.180,PASS
9,100,512,2.610,0.450,2.160,0.450,1.530,2.430,5.220,4.410,9.630,PASS
